x,y,Real,Prevista,Programada,Fecha,Temp,Prec
11,1,22754.0,22740.0,22731.0,2020-01-01,7.497435897435897,0.007692307692307694
12,1,28504.0,28486.0,28428.0,2020-01-02,7.430769230769231,0.1717948717948718
13,1,29703.0,29754.0,29749.0,2020-01-03,7.3,0.4461538461538461
14,1,27347.0,27338.0,27319.0,2020-01-04,7.564102564102564,0.10256410256410256
15,1,25833.0,25817.0,25764.0,2020-01-05,7.499999999999998,0.017948717948717947
9,2,25034.0,24959.0,24958.0,2020-01-06,7.115384615384615,0.03333333333333333
10,2,31308.0,31219.0,31248.0,2020-01-07,7.707692307692311,0.010256410256410256
11,2,32521.0,32452.0,32519.0,2020-01-08,8.882051282051284,0.0846153846153846
12,2,32714.0,32636.0,32611.0,2020-01-09,9.092307692307692,0.9076923076923078
13,2,32533.0,32481.0,32564.0,2020-01-10,7.643589743589743,1.2589743589743587
14,2,29238.0,29199.0,29151.0,2020-01-11,6.851282051282053,0.07435897435897436
15,2,27697.0,27679.0,27620.0,2020-01-12,6.423076923076924,0.007692307692307694
9,3,33181.0,33219.0,33223.0,2020-01-13,6.733333333333334,0.14102564102564102
10,3,33531.0,33575.0,33622.0,2020-01-14,8.376923076923077,2.425641025641026
11,3,33096.0,33122.0,33135.0,2020-01-15,9.860526315789471,0.6076923076923078
12,3,32722.0,32710.0,32746.0,2020-01-16,11.15128205128205,5.28421052631579
13,3,32196.0,32163.0,32176.0,2020-01-17,9.539473684210526,0.8710526315789472
14,3,28885.0,28966.0,28812.0,2020-01-18,9.418421052631581,5.676315789473684
15,3,27229.0,27174.0,27157.0,2020-01-19,7.4820512820512795,3.3000000000000003
9,4,33570.0,33573.0,33542.0,2020-01-20,4.980555555555556,4.162162162162162
10,4,34472.0,34495.0,34512.0,2020-01-21,6.2324324324324305,6.4
11,4,33663.0,33699.0,33829.0,2020-01-22,8.167567567567566,2.7702702702702697
12,4,33096.0,33103.0,33171.0,2020-01-23,8.138461538461536,1.9710526315789476
13,4,32662.0,32672.0,32702.0,2020-01-24,8.731578947368419,5.052631578947368
14,4,29045.0,29097.0,29190.0,2020-01-25,8.825641025641024,3.2615384615384615
15,4,26733.0,26757.0,26863.0,2020-01-26,8.476923076923079,1.605128205128205
9,5,31983.0,32011.0,32018.0,2020-01-27,9.320512820512821,1.9589743589743591
10,5,32040.0,32049.0,32062.0,2020-01-28,11.346153846153847,2.133333333333333
11,5,31487.0,31516.0,31473.0,2020-01-29,12.064102564102562,4.492307692307692
12,5,30934.0,31247.0,30913.0,2020-01-30,12.112820512820509,1.3263157894736843
