x_2018,y_2018,x_2019,y_2019,Fecha_2018,Fecha_2019,Real_2018,Prevista_2018,Programada_2018,Real_2019,Prevista_2019,Programada_2019,Mes,Dia,Temp_2018,Prec_2018,Prec_2019,Temp_2019
9,1,10,1,2018-01-01,2019-01-01,22462.0,22481.38888888889,22308.91666666667,23086.63888888889,23068.840277777777,23013.70833333333,1,1,9.369230769230768,2.6358974358974363,0.05526315789473685,8.310526315789476
10,1,11,1,2018-01-02,2019-01-02,28544.0,28563.701388888887,28349.58333333333,29425.04166666667,29430.61805555556,29354.25,1,2,11.253846153846151,1.8538461538461537,0.028947368421052635,7.371052631578946
11,1,12,1,2018-01-03,2019-01-03,29820.0,29817.41666666667,29659.0,31262.11805555556,31299.94444444444,31181.95833333333,1,3,13.320512820512818,0.7487179487179488,0.002631578947368421,6.863157894736841
12,1,13,1,2018-01-04,2019-01-04,29840.0,29821.902777777777,29727.54166666667,31409.41666666667,31478.31944444444,31437.875,1,4,12.892307692307694,2.68974358974359,0.0,6.7605263157894715
13,1,14,1,2018-01-05,2019-01-05,28678.0,28690.44444444444,28660.125,28428.361111111113,28452.89583333333,28354.625,1,5,10.217948717948717,9.917948717948715,0.007894736842105265,6.657894736842104
14,1,15,1,2018-01-06,2019-01-06,25254.0,25304.56944444444,25208.75,26190.35416666667,26191.57638888889,26105.91666666667,1,6,6.276923076923074,12.3,0.002631578947368421,6.9526315789473685
15,1,9,2,2018-01-07,2019-01-07,26714.0,26673.77083333333,26657.45833333333,30258.923611111113,30247.986111111113,30211.33333333333,1,7,5.241025641025642,3.176923076923077,0.002702702702702703,6.6421052631578945
9,2,10,2,2018-01-08,2019-01-08,32591.0,32540.4375,32587.83333333333,33474.958333333336,33478.645833333336,33557.958333333336,1,8,5.735897435897436,0.776923076923077,0.47368421052631576,7.016216216216214
10,2,11,2,2018-01-09,2019-01-09,34051.0,34059.9375,33978.083333333336,33626.791666666664,33652.958333333336,33533.958333333336,1,9,5.217948717948719,2.8179487179487177,0.07105263157894737,7.7026315789473685
11,2,12,2,2018-01-10,2019-01-10,33327.0,33334.243055555555,33229.291666666664,33815.17361111112,34015.82638888888,33861.583333333336,1,10,8.449999999999998,4.2205128205128215,0.06052631578947368,5.8999999999999995
12,2,13,2,2018-01-11,2019-01-11,33210.0,33192.28472222222,33160.375,34418.02777777778,34429.70138888888,34363.583333333336,1,11,7.310256410256411,2.6999999999999997,0.15263157894736842,4.56578947368421
13,2,14,2,2018-01-12,2019-01-12,33335.0,33309.756944444445,33323.833333333336,30634.68055555556,30618.173611111113,30513.83333333333,1,12,6.407692307692308,1.4384615384615385,0.32105263157894737,5.739473684210526
14,2,15,2,2018-01-13,2019-01-13,30305.0,30273.090277777777,30225.91666666667,28656.25,28670.19444444444,28582.04166666667,1,13,6.258974358974359,5.161538461538461,0.34210526315789475,6.923684210526316
15,2,9,3,2018-01-14,2019-01-14,28158.0,28176.4375,28095.83333333333,33198.29861111112,33204.03472222222,33212.125,1,14,5.823076923076923,3.307692307692307,0.44210526315789467,8.542105263157893
9,3,10,3,2018-01-15,2019-01-15,33193.0,33189.59027777778,33129.125,33577.45138888888,33599.041666666664,33528.416666666664,1,15,6.099999999999999,0.5794871794871795,0.034210526315789476,7.915789473684211
10,3,11,3,2018-01-16,2019-01-16,33180.0,33185.333333333336,33090.708333333336,33533.79861111112,33763.48611111112,33625.5,1,16,9.512820512820511,0.8923076923076925,1.263157894736842,6.9684210526315775
11,3,12,3,2018-01-17,2019-01-17,32669.0,32624.652777777777,32611.125,33690.256944444445,33844.34027777778,33792.833333333336,1,17,9.361538461538458,0.482051282051282,2.131578947368421,6.876315789473685
12,3,13,3,2018-01-18,2019-01-18,32566.0,32555.3125,32490.41666666667,33776.993055555555,33812.368055555555,33756.083333333336,1,18,8.851282051282052,0.3102564102564103,1.3135135135135136,5.457894736842106
13,3,14,3,2018-01-19,2019-01-19,32305.0,32342.763888888887,32138.41666666667,30343.986111111113,30527.402777777777,30405.41666666667,1,19,9.38205128205128,0.7179487179487181,9.124324324324325,6.767567567567567
14,3,15,3,2018-01-20,2019-01-20,28612.0,28633.409722222223,28434.375,28011.66666666667,28057.50694444444,27970.83333333333,1,20,9.520512820512819,1.4025641025641027,3.228947368421052,7.994736842105263
15,3,9,4,2018-01-21,2019-01-21,26172.0,26144.36111111111,26004.95833333333,33046.944444444445,33054.9375,33004.083333333336,1,21,11.553846153846154,0.3641025641025641,0.28421052631578947,6.810526315789474
